canonical_id,canonical_name,normalized_name,pff_player_id,cfbd_id,combine_normalized_player,combine_cfb_player_id,combine_pfr_player_id,combine_gsis_id,colleges,college_seasons,college_seasons_count,draft_season,in_pff,in_combine,in_cfbd
kierra-harris-missouri-state-2014,Kierra Harris,kierra harris,32400.0,517095,,,,,Missouri State,Missouri State:2014,1,2015,True,False,True
trent-brittain-incarnate-word-2015,Trent Brittain,trent brittain,32523.0,548839,,,,,Incarnate Word,Incarnate Word:2015,1,2016,True,False,True
brian-gehring-wagner-2014,Brian Gehring,brian gehring,32633.0,,,,,,Wagner,Wagner:2014,1,2015,True,False,False
cody-williams-monmouth-2015,Cody Williams,cody williams,32677.0,3121226,,,,,Monmouth,Monmouth:2015,1,2016,True,False,True
trace-mcsorley-penn-state-2015,Trace McSorley,trace mcsorley,32819.0,3116172,tracemcsorley,trace-mcsorley-1,McSoTr00,00-0035146,Penn State,Penn State:2015,1,2019,True,True,True
chayce-crouch-illinois-2015,Chayce Crouch,chayce crouch,32855.0,3115912,,,,,Illinois,Illinois:2015,1,2016,True,False,True
nolan-chowbay-austin-peay-2015,Nolan Chowbay,nolan chowbay,33201.0,,,,,,Austin Peay,Austin Peay:2015,1,2016,True,False,False
luke-langdon-army-2015,Luke Langdon,luke langdon,33213.0,3916786,,,,,Army,Army:2015,1,2016,True,False,True
kyle-horton-gardner-webb-2015,Kyle Horton,kyle horton,33292.0,,,,,,Gardner-Webb,Gardner-Webb:2015,1,2016,True,False,False
koy-detmer-jr-byu-2015,Koy Detmer Jr.,koy detmer,33482.0,3932342,,,,,BYU,BYU:2015,1,2016,True,False,True
tre-von-cherry-grambling-2015,Tre'von Cherry,trevon cherry,33686.0,,,,,,Grambling,Grambling:2015,1,2016,True,False,False
kendall-hinton-wake-forest-2015,Kendall Hinton,kendall hinton,34045.0,,,,,,Wake Forest,Wake Forest:2015,1,2016,True,False,False
alex-kuresa-portland-state-2015,Alex Kuresa,alexander kuresa,34210.0,515503,,,,,Portland State,Portland State:2015,1,2016,True,False,True
kareem-coles-jr-idaho-2015,Kareem Coles Jr.,kareem coles,34245.0,,,,,,Idaho,Idaho:2015,1,2016,True,False,False
tommy-fiedler-northern-illinois-2015,Tommy Fiedler,thomas fiedler,34293.0,3921966,,,,,Northern Illinois,Northern Illinois:2015,1,2016,True,False,True
beau-hoge-byu-2015,Beau Hoge,beau hoge,34606.0,3932345,,,,,BYU,BYU:2015,1,2016,True,False,True
tanner-mangum-byu-2015,Tanner Mangum,tanner mangum,34607.0,545796,,,,,BYU,BYU:2015,1,2016,True,False,True
daniel-thompson-elon-2015,Daniel Thompson,daniel thompson,34618.0,3912136,,,,,Elon,Elon:2015,1,2016,True,False,True
aaron-banks-purdue-2015,Aaron Banks,aaron banks,34759.0,3929897,,,,,Purdue,Purdue:2015,1,2016,True,False,True
chase-litton-marshall-2015,Chase Litton,chase litton,34874.0,3931782,chaselitton,chase-litton-1,LittCh01,00-0034291,Marshall,Marshall:2015,1,2018,True,True,True
tyler-bell-wake-forest-2015,Tyler Bell,tyler bell,34877.0,,,,,,Wake Forest,Wake Forest:2015,1,2016,True,False,False
kelly-bryant-clemson-2015,Kelly Bryant,kelly bryant,34897.0,3728240,kellybryant,kelly-bryant-1,BryaKe01,,Clemson;Missouri,Clemson:2015,1,2020,True,True,True
john-fadule-boston-college-2015,John Fadule,john fadule,35420.0,,,,,,Boston College,Boston College:2015,1,2016,True,False,False
quinten-dormady-tennessee-2015,Quinten Dormady,quinten dormady,35426.0,3886565,,,,,Tennessee,Tennessee:2015,1,2016,True,False,True
josh-rosen-ucla-2015,Josh Rosen,josh rosen,35460.0,3886377,joshrosen,josh-rosen-1,RoseJo01,00-0034343,UCLA,UCLA:2015,1,2018,True,True,True
